,0,1,2,3,4
0,4,50195.0,306,306,11
1,2,219.02,787,787,1
2,3,334.62,437,577,0
3,6,101859.19,922,962,1
4,9,59000.0,1321,1321,3
5,12,45216.81,1549,1549,2
6,2,2865.72,1223,577,0
7,10,786215.98,284,273,27
8,3,900,1062,1062,2
9,3,2122.0,195,195,1
10,3,89.88,1437,577,8
11,4,12994.56,1549,1549,1
12,4,32347.6,887,577,7
13,2,3093.94,815,577,0
14,3,334.62,1491,577,0
15,1,61.2,831,831,0
16,4,83072.0,1347,1347,3
17,5,92.28,1529,577,5
18,8,226000.0,39,39,18
19,3,250.3,1549,1549,1
20,4,669.24,1163,577,2
21,4,104.21,1029,577,0
22,17,238104.88,50,1347,50
23,4,91736.16,476,476,5
24,1,215.05,1130,1130,0
25,2,268,887,577,1
26,4,19800.0,957,957,1
27,3,334.62,757,577,7
28,5,45225.0,235,577,3
29,2,2470.99,648,577,0
30,18,10200.0,274,577,573
31,8,9500.0,1211,577,5
32,3,22283.34,938,938,4
33,1,121.2,476,476,0
34,1,150.13,249,1012,0
35,4,90000.0,565,273,0
36,9,96228.0,899,1237,13
37,8,244890.0,373,1307,30
38,7,95885.13,1347,1347,1
39,8,155577.6,961,961,20
40,10,63720.0,739,739,13
41,2,1761.7,1515,1515,0
42,3,7800.0,1259,1259,3
43,3,3490.0,476,476,0
44,9,288680.0,881,1039,14
45,10,19231.38,307,1347,69
46,1,101.58,30,30,0
47,4,2758.0,1072,1072,6
48,24,300775.02,1472,1472,10
49,11,23520.0,590,590,257
50,1,193.71,730,730,0
51,1,43.26,675,675,0
52,4,917.48,307,1347,0
53,2,27512.9,887,577,1
54,5,1610.19,440,1025,7
55,7,20014.49,1549,1549,126
56,3,36840.27,887,577,0
57,1,155.54,1352,1352,0
58,3,168.37,1443,1443,1
59,1,102.48,390,390,0
60,4,14406.76,1155,577,5
61,10,70103.86,120,577,7
62,4,37575.0,470,470,6
63,7,80500.0,1139,506,45
64,2,14.49,424,577,0
65,6,139208.33,442,557,4
66,2,115.8,556,577,0
67,4,51212.49,1347,1347,5
68,3,90947.6,887,577,0
69,2,2464.97,1542,577,0
70,5,26920.98,1347,1347,1
71,1,109.28,157,157,0
72,3,8732.5,1124,1124,0
73,4,1001.06,1030,1030,1
74,2,11400.0,544,544,0
75,1,167.22,521,521,0
76,3,1995.0,834,1039,0
77,9,25880.0,1472,577,5
78,5,77227.44,1549,1549,1
79,5,1526.27,196,577,2
80,5,3000.0,1025,1025,4
81,4,46796.58,1038,273,6
82,3,334.62,331,577,0
83,3,37.17,1100,1100,93
84,1,171.73,500,500,0
85,1,73.49,1260,1260,0
86,6,11750.0,827,577,4
87,7,8295.0,1169,1169,17
88,2,9281.82,887,577,3
89,3,10220.0,938,938,4
90,3,296.41,446,446,0
91,1,5913.4,1347,1347,0
92,5,149987.0,1533,577,5
93,4,669.24,328,577,13
94,8,334.62,137,577,13
95,4,4638.27,208,1347,3
96,2,104.88,76,577,3
97,2,12800.0,544,544,2
98,1,231.91,1200,1200,0
99,2,38.46,533,533,0
100,3,488.72,1579,1579,0
101,4,960.97,802,1347,1
102,3,4520.53,208,1347,6
103,5,32.1,218,577,13
104,6,1285708.75,887,577,3
105,1,30.9,825,825,0
106,3,1252.01,1315,1315,0
107,8,16219.5,1549,1549,1
108,1,124.15,1446,1446,0
109,3,8100.0,1533,476,0
110,5,108732.5,871,871,5
111,3,23626.0,1062,1062,4
